企业代号,TOPSIS得分,D_pos,D_neg,排名,风险等级,信誉评级,是否违约,企业名称
E38,0.8658869030292768,0.016407871555160988,0.10593567225803445,1,A,B,否,***建设工程有限公司
E28,0.8503006553591234,0.018598250419446426,0.10563910321802582,2,A,B,否,***景观工程有限公司
E32,0.745853149584988,0.028208144614457017,0.08278337296049702,3,A,B,否,***建筑劳务有限公司
E46,0.5119479225592821,0.053646280543206366,0.05627289206747185,4,A,C,否,***广告传媒有限公司
E60,0.5018106602052187,0.054709839495878876,0.05510752335338533,5,A,B,否,***机械租赁有限公司
E103,0.40933880118058386,0.06475696217678119,0.04487773586367609,6,A,D,是,***科技有限公司
E12,0.357561231084501,0.07192677067042974,0.040032180362132214,7,A,B,否,***建筑劳务有限公司
E4,0.30633682493885284,0.07809160768174785,0.03448696141248724,8,A,C,否,***发展有限责任公司
E89,0.2997427872616035,0.07707139983943277,0.03299015816728963,9,A,A,否,***物资有限公司
E16,0.2975345467770684,0.07889384043644869,0.03341608181592898,10,A,A,否,***建筑劳务有限公司
E120,0.2854921836689857,0.07870686503642887,0.03144849399181425,11,A,D,是,***陈列广告有限公司
E53,0.2599229081637954,0.08283651400000389,0.029093060518345655,12,A,C,否,***文化传媒有限公司
E93,0.25407507223840586,0.08341034898657643,0.028411023221586725,13,A,B,否,***电脑设计事务所
E33,0.24308956071549365,0.08616686160122261,0.027673372499227338,14,A,B,否,***园林有限责任公司
E40,0.23583957618399867,0.09034963315998014,0.027884222381503662,15,A,C,否,***财税咨询服务有限公司
E6,0.2312320037554992,0.09157191266957135,0.0275432340546786,16,A,A,否,***装饰设计工程有限公司
E2,0.22698892897021145,0.09891025979359586,0.029044259230083528,17,A,A,否,***技术有限责任公司
E55,0.22667843104536703,0.0870688928753422,0.02552190553345029,18,A,C,否,***集团有限公司***电力设备分公司
E47,0.22328491035016587,0.09389352831327169,0.026991889730559077,19,A,C,否,***控制设备有限责任公司
E8,0.22096987665566928,0.10225863856246374,0.02900539795960731,20,A,A,否,***科学研究院有限公司
E123,0.21795935681035652,0.08766488987824489,0.024432723770955574,21,A,D,是,***创科技有限责任公司
E7,0.2115036646728751,0.10433292470426886,0.027985920710509222,22,A,A,否,***家电有限公司***分公司
E13,0.2110175110107668,0.10442500405045678,0.027929015852108902,23,A,A,否,***汽车贸易有限公司
E88,0.2077286125738106,0.09074825894777447,0.023793627062502373,24,A,A,否,***贸易有限公司
E15,0.2064719695563549,0.09160746281600207,0.023835797285076194,25,A,A,否,***劳务有限公司
E75,0.20235009804586182,0.10251589194707057,0.02600652333301661,26,A,C,否,***酒店管理有限公司
E21,0.20085118904096022,0.09697433567117843,0.024372695496648496,27,A,B,否,***建设工程有限公司
E14,0.2005625820682824,0.10198155646271234,0.025585097505719866,28,A,C,否,个体经营E14
E69,0.2000496745990173,0.09125255278599573,0.022820221345641156,29,A,C,否,***电子器材经营部
E18,0.19983074985940968,0.09525715212418348,0.023789102286926083,30,A,A,否,***消防工程有限责任公司
E59,0.19901570428607374,0.09475743709737555,0.023543805017386746,31,B,A,否,***商贸有限公司
E23,0.1967140004452304,0.0995205467873364,0.024371251205528903,32,B,B,否,***贸易有限公司
E30,0.1966646160431409,0.09365178998618914,0.022926904114030464,33,B,B,否,***建筑工程有限公司
E1,0.19565924583363714,0.10046039038800407,0.02443740929159008,34,B,A,否,***电器销售有限公司
E3,0.19512983920312874,0.1014558016407194,0.02459658119363972,35,B,C,否,***电子(中国)有限公司***分公司
E27,0.19417353433109516,0.09749071805175158,0.023491555682365543,36,B,A,否,***农业开发有限公司
E36,0.19352962441018653,0.09806967761164352,0.023533893430777098,37,B,D,是,***超硬材料有限公司
E44,0.19309348590412675,0.09471054128670235,0.02266432139218444,38,B,C,否,***商贸有限公司
E9,0.1930758982567102,0.1029270553362394,0.02462776067913849,39,B,A,否,***生活用品服务有限公司***分公司
E49,0.19299376870595272,0.09880318266691773,0.02362856424597198,40,B,C,否,***地球环保科技有限公司
E22,0.19267085783099513,0.09389249804830556,0.02240764912097657,41,B,A,否,***物流有限公司
E24,0.19242240307949407,0.09734235032865687,0.023193868976890294,42,B,A,否,***建筑工程有限公司
E114,0.19186317357861693,0.08951264434484668,0.021251574557575315,43,B,D,是,***食品有限责任公司
E54,0.1916454523739017,0.10458112984610471,0.024794192100470597,44,B,A,否,***新技术开发有限公司
E116,0.19130094249158258,0.09196854661362681,0.021755521393797012,45,B,D,是,***门窗有限公司
E17,0.19103957253397272,0.09994374150865382,0.02360215531811155,46,B,A,否,***消防工程有限公司
E45,0.1906218124296665,0.09436166200110087,0.02222371607087863,47,B,B,是,个体经营E45
E19,0.18936268621824232,0.10309242471481675,0.02408211186538762,48,B,A,否,***科技有限公司
E58,0.18877829368510624,0.09366203042970375,0.021795962990096028,49,B,B,否,***油气工程建设有限责任公司
E10,0.18422260775860527,0.09916059503744445,0.02239290225302971,50,B,B,否,***建筑劳务有限公司
E51,0.18206146891445568,0.09847212421769305,0.021918492528291148,51,B,B,否,***物流有限公司
E25,0.18176373756308833,0.10093339878867842,0.02242143577716395,52,B,C,否,***通讯设备有限公司
E41,0.18075876828690038,0.09816935438408286,0.02166025206626975,53,B,C,否,***物业发展有限公司
E37,0.1792345406935038,0.10036573456412266,0.02191735304159414,54,B,B,否,***木业有限公司
E31,0.17699746264865573,0.1022536818553721,0.021990992024314187,55,B,A,否,***食品有限公司
E56,0.17496716369328122,0.09794305918070541,0.020771075421682165,56,B,C,否,***家居材料***有限公司
E35,0.17340500229329436,0.09772246336526641,0.020500443422684565,57,B,B,否,***商贸有限公司
E48,0.17333349799813855,0.10186829267535909,0.021359505268157566,58,B,A,否,***化工有限公司
E63,0.17217641658269936,0.10067125571715099,0.020938297010949104,59,B,B,否,***科技有限公司
E5,0.17196998237067634,0.10270179016347544,0.021329691759745098,60,B,B,否,***供应链管理有限公司
