试验编号,Spearman相关系数,Kendall相关系数,最大权重变化
1,0.9992325650385009,0.984272957483673,0.005476038669441269
2,0.9980201467799976,0.9701452752232439,0.009700033832125574
3,0.9981104332460565,0.9674796747967479,0.008483029190442262
4,0.9982265158452749,0.9714780754364919,0.00806083141755149
5,0.998071739046317,0.9701452752232439,0.007717079421676723
6,0.9994840773368073,0.9869385579101692,0.004876586048921119
7,0.9965755633230579,0.9581500733040116,0.0091679748662713
8,0.9980975351794767,0.9696121551379446,0.006480550578732869
9,0.9982329648785649,0.9704118352658936,0.008099319893907553
10,0.99785247191446,0.9696121551379446,0.010862403624031042
11,0.9973429982845572,0.9656137544982006,0.009582903828884853
12,0.9976590009157629,0.9669465547114487,0.00993898059396943
13,0.9988972153074254,0.976809276289484,0.009783407360022006
14,0.9984909262101612,0.9762761562041848,0.010367876774784887
15,0.9988133778746567,0.9786751965880313,0.009322569767819325
16,0.9986586010756988,0.9770758363321337,0.006962745011515212
17,0.9992970553714,0.982940157270425,0.007772215791716858
18,0.99858121267622,0.9746767959482873,0.00752158916353568
19,0.9984586810437115,0.9738771158203384,0.007247410691896106
20,0.998781132708207,0.9794748767159802,0.007818242426540015
21,0.9985554165430602,0.9746767959482873,0.010354791805424743
22,0.9983619455443631,0.9733439957350392,0.0070110406759573835
23,0.9987617856083372,0.9781420765027321,0.00639655215978728
24,0.9987553365750476,0.9773423963747834,0.008754025450674302
25,0.9981039842127666,0.9714780754364919,0.008090638373311004
26,0.9990971353394127,0.9802745568439291,0.006313493648006277
27,0.9996130580026056,0.989071038251366,0.0069933384549636934
28,0.9989875017734843,0.9802745568439291,0.006818664890738915
29,0.9978395738478805,0.9698787151805943,0.009471045931099265
30,0.9965239710567388,0.956550713048114,0.010427804632576407
31,0.9995550167029963,0.9901372784219643,0.004319224815953565
32,0.9980265958132878,0.9701452752232439,0.00912506598473184
33,0.9988327249745264,0.9784086365453818,0.007603219214518092
34,0.9991551766390219,0.9832067173130746,0.006889806484191574
35,0.9985941107427996,0.9749433559909367,0.0102190046101093
36,0.9988133778746567,0.9765427162468345,0.004424082105675214
37,0.9986199068759593,0.977608956417433,0.007364651868725369
38,0.998084637112897,0.9698787151805943,0.009580933708145806
39,0.9979105132140692,0.9693455950952952,0.013715840151916958
40,0.9989423585404549,0.978941756630681,0.008736182210668075
41,0.998297455211464,0.9725443156070903,0.008747079968262406
42,0.9974074886174562,0.9664134346261494,0.008153528547548958
43,0.9986199068759593,0.9752099160335864,0.008844214474423129
44,0.9969173620874233,0.9616153538584564,0.009332507131897178
45,0.9991100334059925,0.9810742369718778,0.0088068680416198
46,0.9976461028491831,0.9664134346261494,0.00932183663971245
47,0.9978202267480106,0.9690790350526455,0.007896135022037384
48,0.997936309347229,0.9682793549246966,0.008387798616612263
49,0.9993873418374586,0.9850726376116219,0.007366500504671136
50,0.999200319872051,0.9837398373983739,0.004349903169821687
51,0.9981104332460565,0.9701452752232439,0.007295024837595032
52,0.9983554965110731,0.9752099160335864,0.010420677448106985
53,0.9983619455443631,0.9752099160335864,0.010688986459330668
54,0.9972527118184986,0.9624150339864054,0.007909595347171838
55,0.9978266757813005,0.9685459149673463,0.00816727603227653
56,0.9969947504869021,0.9600159936025588,0.00814906560320422
57,0.9989294604738751,0.9794748767159802,0.0060278771611192924
58,0.9976912460822125,0.9682793549246966,0.008130946147211632
59,0.9957565360952393,0.9533519925363187,0.008922143937103777
60,0.9987682346416273,0.9786751965880313,0.005615426472597357
61,0.9983941907108125,0.9730774356923897,0.0121940930266735
62,0.9974590808837756,0.9669465547114487,0.008963992769178752
63,0.9984909262101612,0.9738771158203384,0.00864678956859749
64,0.9990132979066437,0.9792083166733305,0.008627914316196292
65,0.9992454631050804,0.9837398373983739,0.007249501505256883
66,0.9989359095071649,0.9784086365453818,0.005888039753563945
67,0.9976783480156325,0.9672131147540982,0.006442596002104159
68,0.9976396538158929,0.9656137544982006,0.006639220565435658
69,0.996504623956869,0.956550713048114,0.007547599340752151
70,0.9980781880796068,0.9709449553511927,0.006787797098376416
71,0.9984393339438419,0.9744102359056376,0.005859652176380112
72,0.9980265958132878,0.9698787151805943,0.007310535827047354
73,0.9988778682075558,0.9773423963747834,0.011707323669877118
74,0.9988907662741355,0.9797414367586298,0.008349775535402906
75,0.9991035843727026,0.9808076769292282,0.00841246199461132
76,0.9974848770169353,0.9658803145408502,0.006521578526911487
77,0.9977879815815609,0.9680127948820471,0.008807548450045236
78,0.9970656898530911,0.9621484739437557,0.010212472068078515
79,0.9985360694431906,0.9765427162468345,0.008302393845911832
80,0.9980523919464473,0.9720111955217912,0.009256472569142762
81,0.998432884910552,0.9725443156070903,0.009039409824351058
82,0.9990713392062531,0.9802745568439291,0.006716820786683474
83,0.9974590808837756,0.9656137544982006,0.007600272037542613
84,0.9980459429131574,0.9709449553511927,0.008427645448119886
85,0.9969367091872929,0.9600159936025588,0.011848205306363851
86,0.9980330448465774,0.9701452752232439,0.008207733723209376
87,0.9979685545136784,0.9704118352658936,0.006405520901164974
88,0.9982200668119849,0.9720111955217912,0.009446058151877698
89,0.9985102733100308,0.9741436758629881,0.008303107586159333
90,0.9991616256723118,0.9824070371851258,0.00792952224195409
91,0.9974010395841666,0.9658803145408502,0.008207300518675464
92,0.9986070088093796,0.9762761562041848,0.010082831897779587
93,0.9989294604738751,0.9797414367586298,0.005266376479790773
94,0.9986328049425393,0.9757430361188857,0.008476434503677202
95,0.9972269156853388,0.9629481540717045,0.01088809986486619
96,0.9978395738478805,0.9701452752232439,0.007098517368707577
97,0.9985941107427996,0.9744102359056376,0.008356154033511809
98,0.998787581741497,0.9773423963747834,0.007664463375251229
99,0.9971882214855993,0.9634812741570037,0.006253595645660234
100,0.9984844771768713,0.9749433559909367,0.009904953572222375
